Final Ranking,Team Name,Macro F1,Codalab Ranking
1,PingAnLifeInsurance,0.8746,1
2,stce,0.874,2
2,FiRC-NLP,0.874,3
4,PALI,0.8717,4
5,GZHU / UCAS-IIE,0.8692,8
6,Zhegu,0.8674,9
7,ITNLP2023,0.863,13
8,YD,0.8629,14
9,MilaNLP,0.8616,17
10,NLP-LTU,0.8613,19
11,niceNLP,0.8609,24
12,CIC-SDS.KN,0.8607,26
13,cl-uzh,0.8586,30
14,Aston NLP,0.8583,31
15,Alejandro Mosquera,0.8562,34
16,DCU,0.8559,35
17,Chride,0.8548,38
18,SUTNLP,0.8545,40
19,JUST_ONE,0.8538,41
19,UIRISC,0.8538,42
19,Just_Dream,0.8538,43
22,ABC,0.8537,44
23,MarSan,0.8518,46
24,UMUTeam,0.8495,47
25,A2Z,0.8479,50
26,AKD,0.8461,51
27,AutoHome_Xu,0.8452,53
28,PCJ,0.8449,54
29,LCT-1,0.8446,56
30,alexa,0.8444,57
31,tmn,0.8434,58
32,DH-FBK,0.8402,61
33,I2C-HUELVA_G2,0.8396,62
34,SSS,0.8392,63
35,Attention,0.839,64
36,AdamR,0.8383,65
37,Team Daunting,0.838,66
38,DAY,0.8373,67
39,KingsmanTrio,0.8366,71
40,Efrat Luzzon,0.8362,72
41,DUTIR,0.8352,73
42,UniBoe's,0.8346,74
43,HULAT,0.8298,75
44,Group2-RUG,0.8295,76
45,SKAM,0.825,77
46,SINAI,0.8245,79
47,HHS,0.8239,80
48,msharma95,0.823,81
49,HausaNLP,0.8228,82
50,UL & UM6P,0.8225,84
51,CSECU-DSG,0.8218,85
52,HITSZ-Q,0.8197,87
53,MaChAmp,0.8192,88
54,RRGI,0.8186,89
55,hhuEDOS,0.8185,90
56,shefnlp,0.8181,91
57,tsingriver,0.818,93
58,JUAGE,0.8166,94
59,Lexicools,0.8124,96
60,PA666,0.8119,97
61,Brainstormers_msec,0.8073,100
62,ACSMKRHR,0.8009,102
63,TEDOS,0.8001,103
64,Stanford MLab,0.7975,104
65,AU_NLP,0.7943,105
66,PoSh,0.7937,106
67,coco,0.7895,108
68,PadmaDS,0.7826,109
69,iREL,0.7815,110
70,shm2023,0.7758,111
71,IUST_NLP,0.775,112
72,INFOTEC,0.7584,115
73,PanwarJayant,0.7583,116
74,LT3,0.7542,117
75,USMBA_NLP,0.754,118
76,CNLP-NITS,0.7478,119
77,YPMS,0.735,120
78,we_have_no_idea,0.7304,121
79,danch22,0.7184,122
80,NLP-CogSci,0.6325,127
81,OPEN SESAME,0.6044,128
82,Judith Jeyafreeda Andrew,0.5191,129
83,UTB-NLP,0.5185,130
84,NLP_CHRISTINE,0.5029,131
