Final Ranking,Team Name,Macro F1,Codalab Ranking
1,PALI,0.5606,1
2,stce,0.5487,3
3,PASSTeam,0.5412,5
4,FiRC-NLP,0.5404,6
5,PingAnLifeInsurance,0.5308,7
6,SUTNLP,0.5252,8
7,JUAGE,0.5221,9
8,GZHU / UCAS-IIE,0.5218,10
9,UL & UM6P,0.498,13
10,YD,0.4957,14
11,DH-FBK,0.4935,15
12,MarSan,0.4822,18
13,UMUTeam,0.4793,21
14,JUST_ONE,0.4774,22
15,LCT-1,0.4764,23
16,UCAS-IIE-NLP,0.4759,24
17,Just_Dream,0.4756,25
18,tmn,0.4694,27
19,QCon,0.4685,29
20,UIRISC,0.4641,30
21,AutoHome_Xu,0.4639,31
22,Chride,0.4637,32
23,AKD,0.4636,33
24,iREL,0.4577,34
25,AdamR,0.4573,35
26,cl-uzh,0.4489,36
27,HULAT,0.4458,37
28,CSECU-DSG,0.4419,38
29,SINAI,0.4376,40
30,SSS,0.4319,41
31,ABC,0.4271,42
32,IUST_NLP,0.423,43
33,A2Z,0.408,45
34,ACSMKRHR,0.4067,46
35,RRGI,0.3879,47
36,HITSZ-Q,0.3847,49
37,shefnlp,0.3811,51
38,DCU,0.3795,52
39,Brainstormers_msec,0.3729,54
40,ITNLP2023,0.3726,55
41,msharma95,0.3661,56
42,Stanford MLab,0.3538,57
43,PA666,0.3496,58
44,Attention,0.3356,59
45,TEDOS,0.3341,60
46,LT3,0.3215,61
47,INFOTEC,0.3155,62
48,UniBoe's,0.315,63
49,AU_NLP,0.299,64
50,"Sana Sabah Al-azzawi, Filip Nilsson ,Oluwatosin  Adewumi, György Kovács",0.2898,65
51,PadmaDS,0.2866,66
52,Lexicools,0.2731,67
53,PoSh,0.2674,69
54,AMBUSH,0.2647,70
55,PanwarJayant,0.2185,71
56,Judith Jeyafreeda Andrew,0.2128,72
57,CNLP-NITS,0.2013,73
58,YPMS,0.1311,75
59,OPEN SESAME,0.1287,76
60,niceNLP,0.1239,77
61,NLP_CHRISTINE,0.0868,78
62,MaChAmp,0.0804,79
63,shm2023,0.0632,80
